report_month,report_page,row_no,project_id,project_name,agency,legacy_ocms_code,pmgid,state,approval_start_mm_yyyy,revised_start_mm_yyyy,original_target_completion_mm_yyyy,revised_target_completion_mm_yyyy,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,source,source_file,expenditure_pct_of_revised_cost,cost_revision_pct,physical_progress_change_mom_pct_points,expenditure_change_mom_cr,revised_cost_change_mom_cr,progress_change,expenditure_change,expenditure_pct,progress_expenditure_gap
2026-06,157,1800,108841,"Amended BharatNet Program - KTK, GOA, PY",Department of Telecommunications,,,PAN India,08/2023,06/2025,06/2028,,3742.0,3742.0,435.31,0.0,PAIMANA Central Flash Report,FlashReport_June_2026.pdf,11.63,0.0,,,,,,11.633083912346338,-11.633083912346338
2026-07,149,1714,108841,"Amended BharatNet Program - KTK, GOA, PY",Department of Telecommunications,,,PAN India,08/2023,06/2025,06/2028,,3742.0,3742.0,435.31,8.15,PAIMANA Central Flash Report,FlashReport_July_2026.pdf,11.63,0.0,8.15,0.0,0.0,8.15,0.0,11.633083912346338,-3.4830839123463377
2026-07,149,1715,124199,Amended BharatNet Program - HR,Department of Telecommunications,,,PAN India,08/2023,03/2026,03/2029,,837.0,837.0,83.68,0.0,PAIMANA Central Flash Report,FlashReport_July_2026.pdf,10.0,0.0,,,,,,9.997610513739547,-9.997610513739547
2026-07,149,1716,171218,Amended BharatNet Program - PB,Department of Telecommunications,,,PAN India,08/2023,02/2025,02/2028,,1245.0,1245.0,0.0,26.58,PAIMANA Central Flash Report,FlashReport_July_2026.pdf,0.0,0.0,,,,,,0.0,26.58
2026-07,149,1717,175860,"Amended BharatNet Program - MP, DD and DNH",Department of Telecommunications,,,PAN India,06/2023,05/2025,05/2028,,4943.0,4943.0,562.13,8.4,PAIMANA Central Flash Report,FlashReport_July_2026.pdf,11.37,0.0,,,,,,11.372243576775237,-2.972243576775236
2026-07,149,1718,210914,Amended BharatNet Program - WB & ANI,Department of Telecommunications,,,PAN India,08/2023,02/2025,02/2028,,1674.0,1674.0,223.41,15.13,PAIMANA Central Flash Report,FlashReport_July_2026.pdf,13.35,0.0,,,,,,13.345878136200717,1.7841218637992835
2026-06,158,1806,222253,Amended BharatNet Program - UP (East),Department of Telecommunications,,,Uttar Pradesh,08/2023,02/2025,02/2028,,5008.0,5008.0,502.0,0.0,PAIMANA Central Flash Report,FlashReport_June_2026.pdf,10.02,0.0,,,,,,10.023961661341852,-10.023961661341852
2026-07,150,1736,222253,Amended BharatNet Program - UP (East),Department of Telecommunications,,,Uttar Pradesh,08/2023,02/2025,02/2028,,5008.0,5008.0,502.0,7.65,PAIMANA Central Flash Report,FlashReport_July_2026.pdf,10.02,0.0,7.65,0.0,0.0,7.65,0.0,10.023961661341852,-2.373961661341852
2026-07,149,1719,240484,Amended BharatNet Program - AS,Department of Telecommunications,,,PAN India,08/2023,03/2026,03/2029,,832.0,832.0,83.16,0.0,PAIMANA Central Flash Report,FlashReport_July_2026.pdf,10.0,0.0,,,,,,9.995192307692308,-9.995192307692308
2026-07,68,272,245986,Jaipur Metro Rail Project Phase 2 (Prahladpura to Todi Mod),Jaipur Metro Rail Corporation,,,Rajasthan,04/2026,04/2026,10/2031,,13037.66,13037.66,1.79,1.79,PAIMANA Central Flash Report,FlashReport_July_2026.pdf,0.01,0.0,,,,,,0.013729457586714181,1.7762705424132859
2026-07,63,175,298178,"Meja Thermal Power Project, Stage-II , (3x800 MW)",National Thermal Power Corporation [NTPC],,,Uttar Pradesh,06/2026,06/2026,12/2032,,38358.0,38358.0,1002.73,0.02,PAIMANA Central Flash Report,FlashReport_July_2026.pdf,2.61,0.0,,,,,,2.6141352520986496,-2.5941352520986496
2026-07,149,1720,317725,Amended BharatNet Program - OD,Department of Telecommunications,,,PAN India,08/2023,07/2026,07/2029,,1713.0,1713.0,0.0,0.0,PAIMANA Central Flash Report,FlashReport_July_2026.pdf,0.0,0.0,,,,,,0.0,0.0
2026-07,80,516,364934,Stamp Charge Battery No.12 By-product Plant at IISCO Steel Plant,Steel Authority of India Limited (SAIL,,,West Bengal,01/2025,02/2025,07/2028,,999.46,999.46,70.37,18.72,PAIMANA Central Flash Report,FlashReport_July_2026.pdf,7.04,0.0,,,,,,7.040802033097873,11.679197966902127
2026-04,66,232,400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,Power Grid Corporation of India Limited [POWERGRID],N18000337,4690.0,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",01/2022,07/2022,06/2023,05/2026,4546.26,4546.26,4528.07,99.9,PAIMANA Central Flash Report,FlashReport_April2026.pdf,99.6,0.0,,,,,,99.59989089933264,0.3001091006673704
2026-04,89,711,400006,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali.,South Eastern Railway [SER] - I,,4689.0,Odisha,10/2021,10/2021,10/2025,12/2026,808.99,808.99,701.15,38.0,PAIMANA Central Flash Report,FlashReport_April2026.pdf,86.67,0.0,,,,,,86.66979814336393,-48.669798143363934
2026-05,88,713,400006,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali.,South Eastern Railway [SER] - I,,4689.0,Odisha,10/2021,10/2021,10/2025,12/2026,808.99,808.99,743.46,40.0,PAIMANA Central Flash Report,FlashReport_May2026.pdf,91.9,0.0,2.0,42.31,0.0,2.0,42.31000000000006,91.89977626423071,-51.89977626423071
